Term1, Term2
Manafort, investigating
Manafort, cooperate
Manafort, chairman
Manafort, alleged
Manafort, court
Manafort, Paul
Manafort, Washington
Manafort, Donald
Manafort, Trump
Manafort, prosecutors
Manafort, Russia
Manafort, President
Manafort, federal
Manafort, campaign
Manafort, US
Manafort, agreed
election, meddling
election, agreement
election, told
election, investigating
election, cooperate
election, chairman
election, alleged
election, court
election, Paul
election, Washington
election, Donald
election, Trump
election, prosecutors
election, Russia
election, President
election, federal
election, campaign
election, US
election, agreed
meddling, agreement
meddling, told
meddling, investigating
meddling, cooperate
meddling, chairman
meddling, alleged
meddling, court
meddling, Paul
meddling, Washington
meddling, Donald
meddling, Trump
meddling, prosecutors
meddling, Russia
meddling, President
meddling, federal
meddling, campaign
meddling, US
meddling, agreed
agreement, told
agreement, investigating
agreement, cooperate
agreement, chairman
agreement, alleged
agreement, court
agreement, Paul
agreement, Washington
agreement, Donald
agreement, Trump
agreement, prosecutors
agreement, Russia
agreement, President
agreement, federal
agreement, campaign
agreement, US
agreement, agreed
told, investigating
told, cooperate
told, chairman
told, alleged
told, court
told, Paul
told, Washington
told, Donald
told, Trump
told, prosecutors
told, Russia
told, President
told, federal
told, campaign
told, US
told, agreed
investigating, cooperate
investigating, chairman
investigating, alleged
investigating, court
investigating, Paul
investigating, Washington
investigating, Donald
investigating, Trump
investigating, prosecutors
investigating, Russia
investigating, President
investigating, federal
investigating, campaign
investigating, US
investigating, agreed
cooperate, chairman
cooperate, alleged
cooperate, court
cooperate, Paul
cooperate, Washington
cooperate, Donald
cooperate, Trump
cooperate, prosecutors
cooperate, Russia
cooperate, President
cooperate, federal
cooperate, campaign
cooperate, US
cooperate, agreed
chairman, alleged
chairman, court
chairman, Paul
chairman, Washington
